Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0111161,2020-04-13,2020-04-13,,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,Drama,2217154,1994-09-10,Frank Darabont,,
2,tt0068646,2020-04-13,2020-04-13,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1527623,1972-03-14,Francis Ford Coppola,,
3,tt0071562,2020-04-13,2020-04-13,,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,movie,9.0,202,1974,"Crime, Drama",1069724,1974-12-12,Francis Ford Coppola,,
4,tt0468569,2020-04-13,2020-04-13,,The Dark Knight,https://www.imdb.com/title/tt0468569/,movie,9.0,152,2008,"Action, Crime, Drama, Thriller",2193673,2008-07-14,Christopher Nolan,,
5,tt0050083,2020-04-13,2020-04-13,,12 Angry Men,https://www.imdb.com/title/tt0050083/,movie,8.9,96,1957,Drama,647863,1957-04-10,Sidney Lumet,,
6,tt0108052,2020-04-13,2020-04-13,,Schindler's List,https://www.imdb.com/title/tt0108052/,movie,8.9,195,1993,"Biography, Drama, History",1155374,1993-11-30,Steven Spielberg,,
